Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-05-21,25.266955263787807,25.301902643129143,25.004849918727768,25.022323608398438,221400,21,4,20,5,1993
1993-05-24,25.07473616009793,25.21452562998001,25.07473616009793,25.12715721130371,30500,24,0,21,5,1993
1993-05-25,25.231999833413415,25.231999833413415,25.17957878112793,25.17957878112793,191800,25,1,21,5,1993
1993-05-26,25.249482260083724,25.511587612264524,25.232008569938337,25.49411392211914,102400,26,2,21,5,1993
1993-05-27,25.529052161120976,25.529052161120976,25.371789006124335,25.406736373901367,53800,27,3,21,5,1993
1993-05-28,25.389262114381825,25.389262114381825,25.1621042289813,25.284420013427734,79100,28,4,21,5,1993
1993-06-01,25.371789575847025,25.616421155779435,25.33684220728525,25.529052734375,28300,1,1,22,6,1993
1993-06-02,25.459166541828367,25.58148237284607,25.354324400956045,25.49411392211914,20300,2,2,22,6,1993
1993-06-03,25.441683741678396,25.441683741678396,25.35431532223582,25.406736373901367,21600,3,3,22,6,1993
1993-06-04,25.3368554072515,25.3368554072515,25.21453955356132,25.319381713867188,32000,4,4,22,6,1993
1993-06-07,25.371801334074657,25.371801334074657,25.23201179504394,25.232011795043945,121400,7,0,23,6,1993
1993-06-08,25.16211743624705,25.16211743624705,25.004854202270508,25.004854202270508,104500,8,1,23,6,1993
1993-06-09,25.092208862304684,25.19705096061515,25.057261496201196,25.092208862304688,43300,9,2,23,6,1993
1993-06-10,25.074736622363723,25.127157674535912,25.022315570191534,25.109683990478516,17900,10,3,23,6,1993
1993-06-11,25.19705535137893,25.2494764096689,25.109686920895648,25.214529037475586,647400,11,4,23,6,1993
1993-06-14,25.249473517508576,25.266947201603738,25.17957878112793,25.17957878112793,64200,14,0,24,6,1993
1993-06-15,25.21452562998001,25.231999313715267,25.127157211303707,25.12715721130371,142400,15,1,24,6,1993
1993-06-16,25.127157728842448,25.17957878112793,25.0572629924618,25.17957878112793,330900,16,2,24,6,1993
1993-06-17,25.23199561555686,25.266942977905273,25.179574572034234,25.266942977905273,37400,17,3,24,6,1993
1993-06-18,25.252452660142705,25.252452660142705,25.058879852294922,25.058879852294922,58500,18,4,24,6,1993
1993-06-21,25.129265157676862,25.129265157676862,25.076472583816194,25.11166763305664,29300,21,0,25,6,1993
1993-06-22,25.14685472119756,25.14685472119756,25.09406216405019,25.129257202148438,137500,22,1,25,6,1993
1993-06-23,25.12926333262305,25.12926333262305,24.9004955291748,24.900495529174805,227600,23,2,25,6,1993
1993-06-24,24.970892726626857,25.23485565185547,24.970892726626857,25.23485565185547,243700,24,3,25,6,1993
1993-06-25,25.21725845336914,25.287648567684197,25.199660924790376,25.21725845336914,44800,25,4,25,6,1993
1993-06-28,25.340441591250972,25.49881935119629,25.305246533485345,25.49881935119629,439900,28,0,26,6,1993
1993-06-29,25.4636113025279,25.4636113025279,25.340428663192938,25.37562370300293,207500,29,1,26,6,1993
1993-06-30,25.410818742812918,25.4636113025279,25.340428663192938,25.37562370300293,437600,30,2,26,6,1993
1993-07-01,25.410829610386877,25.410829610386877,25.270049390938752,25.30524444580078,605700,1,3,26,7,1993
1993-07-02,25.217257534373893,25.234855062311347,25.076477310874246,25.164464950561523,285400,2,4,26,7,1993
1993-07-06,25.12926333262305,25.199653425991745,24.865300482490458,24.900495529174805,246400,6,1,27,7,1993
1993-07-07,24.882894810360025,25.006077457936065,24.882894810360025,24.970882415771484,343700,7,2,27,7,1993
1993-07-08,24.98848237891646,25.305237789353427,24.95328733331235,25.252445220947266,248200,8,3,27,7,1993
1993-07-09,25.252453437524178,25.322843551635742,25.199660851940504,25.322843551635742,378200,9,4,27,7,1993
1993-07-12,25.287646918369767,25.322841973231796,25.252451863507734,25.30524444580078,373700,12,0,28,7,1993
1993-07-13,25.322846122640822,25.39323624389903,25.146870819495298,25.28765106201172,389600,13,1,28,7,1993
1993-07-14,25.305233623382946,25.44601378262291,25.28763610347795,25.37562370300293,617300,14,2,28,7,1993
1993-07-15,25.358024290345174,25.358024290345174,25.217244141613207,25.270036697387695,443800,15,3,28,7,1993
1993-07-16,25.28765081293756,25.30524834307878,25.164468101948998,25.199663162231445,216400,16,4,28,7,1993
1993-07-19,25.19967303752566,25.19967303752566,25.111685352338768,25.18207550048828,188200,19,0,29,7,1993
1993-07-20,25.164457606937,25.252445220947266,25.04127494732262,25.252445220947266,68500,20,1,29,7,1993
1993-07-21,25.217258123506895,25.23485565185547,25.1468680101126,25.23485565185547,142700,21,2,29,7,1993
1993-07-22,25.19966007618422,25.234855132156543,25.058879852294922,25.058879852294922,632400,22,3,29,7,1993
1993-07-23,25.111685352338768,25.18207550048828,25.09408781530139,25.18207550048828,286200,23,4,29,7,1993
1993-07-26,25.252453437524178,25.375636137219416,25.252453437524178,25.322843551635742,121300,26,0,30,7,1993
1993-07-27,25.340439500662814,25.35803702809383,25.217256808645704,25.30524444580078,92800,27,1,30,7,1993
1993-07-28,25.252445220947266,25.305237789353427,25.21725017534316,25.252445220947266,30800,28,2,30,7,1993
1993-07-29,25.30524090603665,25.4636186307615,25.270045856097795,25.39322853088379,331000,29,3,30,7,1993
1993-07-30,25.393225403363697,25.393225403363697,25.21725017534316,25.252445220947266,75300,30,4,30,7,1993
1993-08-02,25.28764849457996,25.4108311942752,25.28764849457996,25.322843551635742,41300,2,0,31,8,1993
1993-08-03,25.37563771671719,25.446027835210163,25.252455009354485,25.340442657470703,81600,3,1,31,8,1993
1993-08-04,25.340442657470703,25.393235246340435,25.27005253897773,25.340442657470703,434000,4,2,31,8,1993
1993-08-05,25.340443652955372,25.340443652955372,25.252456001382612,25.28765106201172,36800,5,3,31,8,1993
1993-08-06,25.358038608691526,25.375636137219416,25.28764849457996,25.322843551635742,402300,6,4,31,8,1993
1993-08-09,25.393236738941795,25.534016984202733,25.34044414696894,25.463626861572266,828200,9,0,32,8,1993
1993-08-10,25.446023941040043,25.46362146797022,25.410828887179683,25.44602394104004,604900,10,1,32,8,1993
1993-08-11,25.42842641410986,25.516414048760762,25.42842641410986,25.44602394104004,542200,11,2,32,8,1993
1993-08-12,25.51640386224289,25.51640386224289,25.28763610347795,25.37562370300293,303700,12,3,32,8,1993
1993-08-13,25.393235828737804,25.428430888791492,25.393235828737804,25.41083335876465,103500,13,4,32,8,1993
1993-08-16,25.42841875848691,25.621991496440792,25.42841875848691,25.55160140991211,241800,16,0,33,8,1993
1993-08-17,25.534007977686603,25.63959312438965,25.534007977686603,25.63959312438965,369300,17,1,33,8,1993
1993-08-18,25.72757814426878,25.83316328029177,25.70998062159828,25.780370712280273,414300,18,2,33,8,1993
1993-08-19,25.797968234950773,25.797968234950773,25.74517566693928,25.780370712280273,28500,19,3,33,8,1993
1993-08-20,25.727566408102707,25.79795646667481,25.70996889345968,25.797956466674805,80700,20,4,33,8,1993
1993-08-23,25.69237613221675,25.762766203811864,25.69237613221675,25.745168685913086,15600,23,0,34,8,1993
1993-08-24,25.745180611033305,26.02674102783203,25.745180611033305,26.02674102783203,273400,24,1,34,8,1993
1993-08-25,26.026742606549647,26.149925296371045,25.991547552314962,26.044340133666992,242300,25,2,34,8,1993
1993-08-26,26.061933517456055,26.202713712013548,25.956348371537935,26.061933517456055,120000,26,3,34,8,1993
1993-08-27,25.991547552314962,26.04434013366699,25.991547552314962,26.044340133666992,25700,27,4,34,8,1993
1993-08-30,26.06192048818555,26.18510309684004,26.06192048818555,26.1499080657959,183500,30,0,35,8,1993
1993-08-31,26.13233589966025,26.22032356262207,26.097140834475525,26.22032356262207,66500,31,1,35,8,1993
1993-09-01,26.132332759518775,26.23791794238552,26.132332759518775,26.18512535095215,136500,1,2,35,9,1993
1993-09-02,26.20272263303771,26.237917693659654,26.079539920860903,26.097137451171875,472400,2,3,35,9,1993
1993-09-03,26.07953958948346,26.149929709832943,26.04434452930872,26.114734649658203,630500,3,4,35,9,1993
1993-09-07,26.114730307010976,26.149925361333093,25.903559981078274,25.93875503540039,196400,7,1,36,9,1993
1993-09-08,25.938762425889443,25.938762425889443,25.674799443265062,25.85077476501465,269900,8,2,36,9,1993
